date,equity,cash,positions_value,daily_pnl,daily_pnl_pct,cumulative_pnl,cumulative_pnl_pct
2026-04-27,99997.99,65000.00,34997.99,-2.01,-0.00002010,-2.01,-0.00002010
2026-04-28,99832.62,42500.00,57332.62,-165.37,-0.00165373,-167.38,-0.00167380
2026-04-29,99538.08,28400.00,71138.08,-294.54,-0.00295034,-461.92,-0.00461920
2026-04-30,100654.00,19650.00,81004.00,1115.92,0.01121099,654.00,0.00654000
2026-05-01,100789.58,13150.00,87639.58,135.58,0.00134699,789.58,0.00789580
2026-05-04,100342.51,8370.00,91972.51,-447.07,-0.00443568,342.51,0.00342510
2026-05-05,101126.39,5385.00,95741.39,783.88,0.00781204,1126.39,0.01126390
2026-05-06,102606.94,5385.00,97221.94,1480.55,0.01464059,2606.94,0.02606940
2026-05-07,102162.26,5385.00,96777.26,-444.68,-0.00433382,2162.26,0.02162260
2026-05-08,102978.13,5385.00,97593.13,815.87,0.00798602,2978.13,0.02978130
2026-05-11,103006.34,5385.00,97621.34,28.21,0.00027394,3006.34,0.03006340
2026-05-12,102633.56,5385.00,97248.56,-372.78,-0.00361900,2633.56,0.02633560
2026-05-17,102182.81,5385.00,96797.81,-450.75,-0.00439184,2182.81,0.02182810
2026-05-18,102178.28,5385.00,96793.28,-4.53,-0.00004433,2178.28,0.02178280
2026-05-19,101596.18,5385.00,96211.18,-582.10,-0.00569691,1596.18,0.01596180
2026-05-20,102646.75,5385.00,97261.75,1050.57,0.01034064,2646.75,0.02646750
